,actual values,Predicted class,network class
0,1,1,normal
1,1,0,anormaly
2,0,0,anormaly
3,1,1,normal
4,1,1,normal
5,0,0,anormaly
6,0,0,anormaly
7,0,0,anormaly
8,0,0,anormaly
9,0,0,anormaly
10,0,0,anormaly
11,0,0,anormaly
12,1,1,normal
13,0,0,anormaly
14,0,0,anormaly
15,0,0,anormaly
16,1,1,normal
17,0,0,anormaly
18,1,1,normal
19,1,1,normal
20,0,0,anormaly
21,0,0,anormaly
22,1,1,normal
23,1,1,normal
24,0,0,anormaly
25,1,1,normal
26,0,0,anormaly
27,1,1,normal
28,1,1,normal
29,1,1,normal
30,0,0,anormaly
31,0,0,anormaly
32,1,1,normal
33,0,1,normal
34,1,1,normal
35,1,1,normal
36,1,1,normal
37,0,0,anormaly
38,1,1,normal
39,0,0,anormaly
40,0,0,anormaly
41,0,0,anormaly
42,1,1,normal
43,1,1,normal
44,1,1,normal
45,0,0,anormaly
46,0,0,anormaly
47,1,1,normal
48,0,1,normal
49,0,0,anormaly
50,1,1,normal
51,0,0,anormaly
52,0,0,anormaly
53,1,1,normal
54,1,1,normal
55,1,1,normal
56,0,0,anormaly
57,0,0,anormaly
58,0,0,anormaly
59,1,1,normal
60,1,1,normal
61,0,0,anormaly
62,0,0,anormaly
63,1,1,normal
64,0,0,anormaly
65,1,1,normal
66,0,0,anormaly
67,0,0,anormaly
68,0,0,anormaly
69,0,0,anormaly
70,1,1,normal
71,0,0,anormaly
72,1,1,normal
73,1,1,normal
74,0,0,anormaly
75,1,1,normal
76,0,0,anormaly
77,1,1,normal
78,1,1,normal
79,0,0,anormaly
80,1,1,normal
81,0,0,anormaly
82,0,0,anormaly
83,0,0,anormaly
84,1,1,normal
85,0,0,anormaly
86,1,1,normal
87,0,0,anormaly
88,0,0,anormaly
89,1,1,normal
90,1,1,normal
91,1,1,normal
92,1,1,normal
93,0,0,anormaly
94,0,0,anormaly
95,1,1,normal
96,1,1,normal
97,1,1,normal
98,1,1,normal
99,0,0,anormaly
100,1,1,normal
101,1,1,normal
102,1,0,anormaly
103,1,1,normal
104,0,0,anormaly
105,1,1,normal
106,1,1,normal
107,1,1,normal
108,1,1,normal
109,1,1,normal
110,1,1,normal
111,1,1,normal
112,1,1,normal
113,1,1,normal
114,1,1,normal
115,0,0,anormaly
116,0,0,anormaly
117,1,1,normal
118,1,1,normal
119,1,1,normal
120,0,0,anormaly
121,0,0,anormaly
122,0,0,anormaly
123,1,1,normal
124,0,0,anormaly
125,1,1,normal
126,1,1,normal
127,1,1,normal
128,1,1,normal
129,1,1,normal
130,0,0,anormaly
131,0,0,anormaly
132,1,1,normal
133,1,1,normal
134,0,0,anormaly
135,0,0,anormaly
136,1,1,normal
137,1,1,normal
138,0,0,anormaly
139,0,0,anormaly
140,1,1,normal
141,0,0,anormaly
142,0,0,anormaly
143,1,1,normal
144,1,1,normal
145,1,1,normal
146,0,0,anormaly
147,1,1,normal
148,0,0,anormaly
149,0,0,anormaly
150,0,0,anormaly
151,1,1,normal
152,0,0,anormaly
153,0,0,anormaly
154,0,0,anormaly
155,1,1,normal
156,1,1,normal
157,0,0,anormaly
158,0,0,anormaly
159,0,0,anormaly
160,1,1,normal
161,1,1,normal
162,1,1,normal
163,1,1,normal
164,0,0,anormaly
165,0,0,anormaly
166,1,1,normal
167,1,1,normal
168,1,1,normal
169,1,1,normal
170,0,0,anormaly
171,1,1,normal
172,0,0,anormaly
173,0,0,anormaly
174,0,0,anormaly
175,0,0,anormaly
176,1,1,normal
177,0,0,anormaly
178,0,0,anormaly
179,0,0,anormaly
180,1,0,anormaly
181,1,1,normal
182,1,1,normal
183,1,1,normal
184,0,0,anormaly
185,0,0,anormaly
186,0,0,anormaly
187,0,0,anormaly
188,1,1,normal
189,1,1,normal
190,0,1,normal
191,1,1,normal
192,0,0,anormaly
193,0,0,anormaly
194,1,1,normal
195,1,1,normal
196,1,1,normal
197,1,1,normal
198,0,0,anormaly
199,1,1,normal
200,1,1,normal
201,0,0,anormaly
202,1,1,normal
203,1,1,normal
204,1,1,normal
205,1,1,normal
206,0,0,anormaly
207,1,1,normal
208,1,1,normal
209,0,0,anormaly
210,0,0,anormaly
211,0,0,anormaly
212,0,0,anormaly
213,1,1,normal
214,0,0,anormaly
215,0,0,anormaly
216,1,1,normal
217,1,1,normal
218,1,1,normal
219,1,1,normal
220,1,1,normal
221,0,0,anormaly
222,0,1,normal
223,0,0,anormaly
224,0,0,anormaly
225,1,1,normal
226,1,1,normal
227,0,0,anormaly
228,1,1,normal
229,1,1,normal
230,1,1,normal
231,1,1,normal
232,1,0,anormaly
233,0,0,anormaly
234,1,1,normal
235,0,0,anormaly
236,0,0,anormaly
237,0,0,anormaly
238,1,1,normal
239,1,1,normal
240,1,1,normal
241,0,0,anormaly
242,0,0,anormaly
243,0,0,anormaly
244,0,0,anormaly
245,1,1,normal
246,0,0,anormaly
247,0,0,anormaly
248,0,0,anormaly
249,1,1,normal
250,0,0,anormaly
251,1,1,normal
252,1,1,normal
253,0,0,anormaly
254,0,0,anormaly
255,0,1,normal
256,1,1,normal
257,1,1,normal
258,0,0,anormaly
259,1,1,normal
260,0,0,anormaly
261,1,1,normal
262,1,1,normal
263,0,0,anormaly
264,1,1,normal
265,1,1,normal
266,1,1,normal
267,1,1,normal
268,0,0,anormaly
269,0,0,anormaly
270,1,1,normal
271,0,0,anormaly
272,1,1,normal
273,1,1,normal
274,1,1,normal
275,1,1,normal
276,0,0,anormaly
277,0,0,anormaly
278,1,1,normal
279,1,1,normal
280,1,1,normal
281,0,0,anormaly
282,1,1,normal
283,1,1,normal
284,0,0,anormaly
285,1,1,normal
286,0,0,anormaly
287,0,0,anormaly
288,1,1,normal
289,0,0,anormaly
290,1,1,normal
291,0,0,anormaly
292,0,0,anormaly
293,1,1,normal
294,1,1,normal
295,1,1,normal
296,1,1,normal
297,0,0,anormaly
298,1,1,normal
299,0,0,anormaly
300,1,1,normal
301,0,0,anormaly
302,0,0,anormaly
303,0,0,anormaly
304,1,1,normal
305,0,0,anormaly
306,1,1,normal
307,1,1,normal
308,0,0,anormaly
309,1,1,normal
310,0,0,anormaly
311,1,1,normal
312,0,0,anormaly
313,0,0,anormaly
314,1,1,normal
315,0,0,anormaly
316,0,0,anormaly
317,0,0,anormaly
318,1,1,normal
319,0,0,anormaly
320,1,1,normal
321,0,0,anormaly
322,0,0,anormaly
323,0,0,anormaly
324,1,1,normal
325,0,0,anormaly
326,1,1,normal
327,1,1,normal
328,1,1,normal
329,1,1,normal
330,0,0,anormaly
331,0,0,anormaly
332,1,1,normal
333,1,1,normal
334,0,0,anormaly
335,1,1,normal
336,1,1,normal
337,1,1,normal
338,0,0,anormaly
339,0,0,anormaly
340,1,1,normal
341,0,0,anormaly
342,1,1,normal
343,1,1,normal
344,0,0,anormaly
345,1,0,anormaly
346,0,0,anormaly
347,1,0,anormaly
348,0,0,anormaly
349,0,0,anormaly
350,0,0,anormaly
351,1,1,normal
352,0,0,anormaly
353,1,1,normal
354,0,0,anormaly
355,1,1,normal
356,0,0,anormaly
357,1,1,normal
358,0,0,anormaly
359,1,1,normal
360,1,1,normal
361,1,1,normal
362,0,0,anormaly
363,1,1,normal
364,1,1,normal
365,0,0,anormaly
366,0,1,normal
367,1,1,normal
368,0,0,anormaly
369,0,0,anormaly
370,1,1,normal
371,1,1,normal
372,1,1,normal
373,0,0,anormaly
374,1,1,normal
375,0,0,anormaly
376,1,0,anormaly
377,1,1,normal
378,1,1,normal
379,0,0,anormaly
380,1,1,normal
381,0,0,anormaly
382,1,0,anormaly
383,0,0,anormaly
384,0,0,anormaly
385,1,1,normal
386,0,0,anormaly
387,1,1,normal
388,1,1,normal
389,1,1,normal
390,1,1,normal
391,1,1,normal
392,0,0,anormaly
393,0,0,anormaly
394,0,0,anormaly
395,0,0,anormaly
396,0,0,anormaly
397,0,0,anormaly
398,0,1,normal
399,1,1,normal
400,1,1,normal
401,0,0,anormaly
402,1,1,normal
403,1,1,normal
404,0,0,anormaly
405,1,1,normal
406,1,1,normal
407,1,1,normal
408,0,0,anormaly
409,0,0,anormaly
410,1,1,normal
411,0,0,anormaly
412,1,1,normal
413,1,1,normal
414,0,0,anormaly
415,1,1,normal
416,1,1,normal
417,0,0,anormaly
418,0,0,anormaly
419,0,0,anormaly
420,1,1,normal
421,0,0,anormaly
422,0,0,anormaly
423,0,0,anormaly
424,0,0,anormaly
425,1,1,normal
426,0,0,anormaly
427,1,1,normal
428,1,1,normal
429,0,0,anormaly
430,1,1,normal
431,0,0,anormaly
432,0,0,anormaly
433,1,1,normal
434,1,1,normal
435,1,1,normal
436,1,1,normal
437,1,1,normal
438,1,1,normal
439,1,1,normal
440,0,0,anormaly
441,1,1,normal
442,0,0,anormaly
443,0,0,anormaly
444,1,1,normal
445,1,1,normal
446,0,0,anormaly
447,0,0,anormaly
448,0,0,anormaly
449,1,1,normal
450,1,1,normal
451,1,1,normal
452,0,0,anormaly
453,0,0,anormaly
454,0,0,anormaly
455,1,1,normal
456,0,0,anormaly
457,1,1,normal
458,0,0,anormaly
459,0,0,anormaly
460,1,1,normal
461,1,1,normal
462,0,0,anormaly
463,1,1,normal
464,1,1,normal
465,0,0,anormaly
466,0,1,normal
467,0,0,anormaly
468,1,1,normal
469,1,1,normal
470,0,0,anormaly
471,1,1,normal
472,0,0,anormaly
473,1,1,normal
474,0,0,anormaly
475,1,1,normal
476,1,1,normal
477,0,0,anormaly
478,0,0,anormaly
479,1,1,normal
480,0,0,anormaly
481,0,0,anormaly
482,0,0,anormaly
483,1,1,normal
484,0,0,anormaly
485,1,1,normal
486,1,1,normal
487,0,0,anormaly
488,0,0,anormaly
489,1,1,normal
490,0,0,anormaly
491,1,1,normal
492,1,1,normal
493,1,0,anormaly
494,1,1,normal
495,0,0,anormaly
496,1,1,normal
497,1,1,normal
498,1,1,normal
499,1,1,normal
500,1,1,normal
501,1,1,normal
502,0,0,anormaly
503,1,1,normal
504,1,1,normal
505,1,1,normal
506,0,0,anormaly
507,0,0,anormaly
508,1,1,normal
509,0,0,anormaly
510,1,1,normal
511,1,1,normal
512,1,1,normal
513,1,1,normal
514,1,1,normal
515,1,1,normal
516,0,0,anormaly
517,0,0,anormaly
518,1,1,normal
519,1,1,normal
520,0,0,anormaly
521,1,1,normal
522,0,0,anormaly
523,1,1,normal
524,1,1,normal
525,1,0,anormaly
526,0,0,anormaly
527,1,1,normal
528,0,0,anormaly
529,0,0,anormaly
530,0,1,normal
531,0,0,anormaly
532,0,0,anormaly
533,1,0,anormaly
534,0,0,anormaly
535,1,1,normal
536,0,0,anormaly
537,1,1,normal
538,0,1,normal
539,1,1,normal
540,0,0,anormaly
541,0,0,anormaly
542,1,1,normal
543,1,1,normal
544,1,1,normal
545,1,1,normal
546,1,1,normal
547,0,0,anormaly
548,1,1,normal
549,0,0,anormaly
550,0,0,anormaly
551,0,0,anormaly
552,1,1,normal
553,0,0,anormaly
554,1,1,normal
555,1,1,normal
556,0,1,normal
557,0,0,anormaly
558,0,0,anormaly
559,0,0,anormaly
560,1,1,normal
561,0,0,anormaly
562,1,1,normal
563,1,1,normal
564,0,0,anormaly
565,0,0,anormaly
566,1,1,normal
567,0,0,anormaly
568,0,0,anormaly
569,1,1,normal
570,0,1,normal
571,0,0,anormaly
572,0,0,anormaly
573,0,0,anormaly
574,1,1,normal
575,1,0,anormaly
576,1,1,normal
577,0,0,anormaly
578,1,1,normal
579,1,1,normal
580,1,1,normal
581,0,0,anormaly
582,0,0,anormaly
583,1,1,normal
584,1,1,normal
585,1,1,normal
586,0,0,anormaly
587,1,1,normal
588,1,1,normal
589,0,0,anormaly
590,1,1,normal
591,0,0,anormaly
592,0,0,anormaly
593,1,1,normal
594,1,1,normal
595,0,0,anormaly
596,1,1,normal
597,0,0,anormaly
598,1,1,normal
599,0,0,anormaly
600,0,0,anormaly
601,1,1,normal
602,0,0,anormaly
603,0,0,anormaly
604,1,1,normal
605,0,0,anormaly
606,0,0,anormaly
607,0,1,normal
608,1,1,normal
609,0,0,anormaly
610,1,1,normal
611,0,0,anormaly
612,1,1,normal
613,1,1,normal
614,1,1,normal
615,0,0,anormaly
616,0,0,anormaly
617,1,1,normal
618,1,1,normal
619,0,1,normal
620,1,1,normal
621,0,0,anormaly
622,0,0,anormaly
623,1,1,normal
624,0,0,anormaly
625,0,0,anormaly
626,0,0,anormaly
627,0,0,anormaly
628,1,1,normal
629,0,0,anormaly
630,1,1,normal
631,0,0,anormaly
632,1,1,normal
633,1,1,normal
634,0,0,anormaly
635,1,1,normal
636,1,1,normal
637,1,1,normal
638,0,0,anormaly
639,1,1,normal
640,0,0,anormaly
641,1,1,normal
642,1,1,normal
643,0,0,anormaly
644,1,1,normal
645,0,0,anormaly
646,0,0,anormaly
647,0,0,anormaly
648,0,0,anormaly
649,1,1,normal
650,0,0,anormaly
651,1,1,normal
652,0,0,anormaly
653,1,1,normal
654,1,1,normal
655,1,1,normal
656,1,1,normal
657,1,1,normal
658,1,1,normal
659,0,0,anormaly
660,1,1,normal
661,0,0,anormaly
662,0,0,anormaly
663,1,1,normal
664,1,1,normal
665,0,0,anormaly
666,0,0,anormaly
667,0,0,anormaly
668,1,1,normal
669,1,1,normal
670,1,1,normal
